Slutpris,Title,Type,Location,Sale Date,Agent Name,Agent Link,Pris per kvadratmeter,Utgångspris,Prisutveckling,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift,url,Driftskostnad,Uteplats,Biarea,Tomtarea,Arrende,Förening,Tomträttsavgäld,Lat,Long
1 950 000 kr,Köpenhamnsvägen 13C,Lägenhet,"Slottsstaden, Malmö kommun",Såld 28 april 2023,Malin Wallin,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/malin-wallin-13595,34 211 kr/m²,1 695 000 kr,+255 000 kr (+15 %),Lägenhet,Bostadsrätt,2 rum,57 m²,,"5 av 5, hiss finns",1953,4 107 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slottsstaden-malmo-kommun-kopenhamnsvagen-13c-3006017893522714366,4 273 kr/år,,,,,,,55.5942129,12.9656625
2 250 000 kr,Typografgatan 4B,Lägenhet,"Möllevången, Malmö kommun",Såld 22 februari 2023,Bella Forsberg,https://www.hemnet.se/maklare/lansforsakringar-fastighetsformedling-malmo-39311/bella-forsberg-19448,44 118 kr/m²,2 195 000 kr,+55 000 kr (+3 %),Lägenhet,Bostadsrätt,2 rum,51 m²,Ja,"5 av 10, hiss finns",2018,3 254 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-mollevangen-malmo-kommun-typografgatan-4b-2608591502524773134,3 960 kr/år,,,,,,,55.5943337,13.0097047
990 000 kr,Ängelholmsgatan 5,Lägenhet,"Möllevången, Malmö kommun",Såld 07 juli 2016,,,30 938 kr/m²,875 000 kr,+115 000 kr (+13 %),Lägenhet,Bostadsrätt,1 rum,32 m²,,,1904,2 030 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-mollevangen-malmo-kommun-angelholmsgatan-5-541022,,,,,,Brf Fanan 3,,55.5930536,13.0091703
1 495 000 kr,Kronetorpsgatan 52A,Lägenhet,"Segevång, Malmö kommun",Såld 11 juli 2022,,,21 667 kr/m²,1 495 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,3 rum,69 m²,Ja,"7 av 9, hiss finns",1960,4 702 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-segevang-malmo-kommun-kronetorpsgatan-52a-3705886007789801395,,,,,,,,55.6155646,13.0515358
1 995 000 kr,Köpenhamnsvägen 9 C,Lägenhet,"Slottsstaden, Malmö kommun",Såld 10 mars 2023,Johanna Meyer,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-meyer-16549,37 642 kr/m²,1 995 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,53 m²,Ja,"4 av 5, hiss finns",1954,4 470 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slottsstaden-malmo-kommun-kopenhamnsvagen-9-c-111399495361349651,,,,,,,,55.5942129,12.9656625
1 295 000 kr,Övägen 11B,Lägenhet,"Ön, Malmö kommun",Såld 05 december 2017,,,39 846 kr/m²,1 295 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"32,5 m²",,,2007,2 232 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-on-malmo-kommun-ovagen-11b-769251,,,,,,Riksbyggens Brf Kronolotsen 1,,55.590339,12.9202608
1 200 000 kr,Konsultgatan 28,Lägenhet,"Södertorp, Malmö kommun",Såld 08 mars 2019,Åsa Öjes,https://www.hemnet.se/maklare/mohv-svedala-733831/asa-ojes-6815,19 355 kr/m²,1 095 000 kr,+105 000 kr (+10 %),Lägenhet,Bostadsrätt,2 rum,62 m²,,,1972,3 630 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-sodertorp-malmo-kommun-konsultgatan-28-963738,175 kr/år,,,,,Hsb Brf Södertorp,,55.5765972,12.9885074
1 100 000 kr,Dansörgatan 20,Lägenhet,"Lindeborg, Malmö kommun",Såld 16 maj 2019,Alexandra Möller,https://www.hemnet.se/maklare/skandiamaklarna-landskrona-718151/alexandra-moller-15638,25 287 kr/m²,1 095 000 kr,+5 000 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,"43,5 m²",,,1972,2 600 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-lindeborg-malmo-kommun-dansorgatan-20-1012850,1 440 kr/år,,,,,,,55.5601869,12.9882853
2 980 000 kr,Sergels väg 9B,Lägenhet,"Ribersborg, Malmö kommun",Såld 03 augusti 2021,,,48 852 kr/m²,2 645 000 kr,+335 000 kr (+13 %),Lägenhet,Bostadsrätt,2 rum,61 m²,Ja,"3 av 8, hiss finns",1954,3 394 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-ribersborg-malmo-kommun-sergels-vag-9b-1430934,4 200 kr/år,,,,,,,55.5995478,12.9755322
3 150 000 kr,Kockumsgatan 3B,Lägenhet,"Davidshall, Malmö kommun",Såld 11 september 2022,Victor Jörgensen,https://www.hemnet.se/maklare/bo-laget-fastighetsformedling-716831/victor-jorgensen-9420,48 462 kr/m²,3 095 000 kr,+55 000 kr (+2 %),Lägenhet,Bostadsrätt,2 rum,65 m²,,3 av 4,1934,4 235 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-davidshall-malmo-kommun-kockumsgatan-3b-1551697270213623702,,,,,,,,55.5996828,12.9969687
1 300 000 kr,Ellstorpsgatan 4 O,Lägenhet,"Ellstorp, Malmö kommun",Såld 28 maj 2018,,,16 667 kr/m²,1 295 000 kr,+5 000 kr (±0 %),Lägenhet,Bostadsrätt,4 rum,78 m²,,,1938,5 990 kr/mån,https://www.hemnet.se/salda/lagenhet-4rum-ellstorp-malmo-kommun-ellstorpsgatan-4-o-835318,5 500 kr/år,,,,,,,55.6053417,13.0310031
1 750 000 kr,Kungsgatan 27A,Lägenhet,"Värnhem, Malmö kommun",Såld 29 september 2018,Johanna Olsson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/johanna-olsson-9058,14 113 kr/m²,1 795 000 kr,-45 000 kr (-3 %),Lägenhet,Bostadsrätt,5 rum,124 m²,,,1935,8 781 kr/mån,https://www.hemnet.se/salda/lagenhet-5rum-varnhem-malmo-kommun-kungsgatan-27a-889839,,,,,,Brf Malmgården,,55.6019158,13.0118656
1 160 000 kr,Amiralsgatan 32,Lägenhet,"S:t Knut, Malmö kommun",Såld 15 april 2015,,,26 977 kr/m²,1 195 000 kr,-35 000 kr (-3 %),Lägenhet,Bostadsrätt,"1,5 rum",43 m²,,,1928,2 181 kr/mån,"https://www.hemnet.se/salda/lagenhet-1,5rum-s-t-knut-malmo-kommun-amiralsgatan-32-331310",,,,,,Bf Amiralsgården,,55.596861,13.0116396
1 695 000 kr,Einar Hansens Esplanad 20A,Lägenhet,"Västra Hamnen, Malmö kommun",Såld 15 oktober 2020,Daniel Karlsson,https://www.hemnet.se/maklare/svensk-fastighetsformedling-malmo-701451/daniel-karlsson-10500,47 746 kr/m²,1 695 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,"1,5 rum","35,5 m²",Ja,"2 av 7, hiss finns",2020,2 178 kr/mån,"https://www.hemnet.se/salda/lagenhet-1,5rum-vastra-hamnen-malmo-kommun-einar-hansens-esplanad-20a-1271490",7 368 kr/år,,,,,,,55.6123653,12.981866
2 800 000 kr,Örsholmsgången 4B,Lägenhet,"Fågelbacken, Malmö kommun",Såld 25 maj 2023,Isabelle Ekstrand,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/isabelle-ekstrand-15061,38 356 kr/m²,2 895 000 kr,-95 000 kr (-3 %),Lägenhet,Bostadsrätt,"2,5 rum",73 m²,Ja,,1946,4 248 kr/mån,"https://www.hemnet.se/salda/lagenhet-2,5rum-fagelbacken-malmo-kommun-orsholmsgangen-4b-1725388841707147594",2 429 kr/år,,,,,,,55.5944494,12.9858329
1 810 000 kr,Älggatan 47A,Lägenhet,"Limhamn, Malmö kommun",Såld 04 juni 2023,Sofia Nebrelius,https://www.hemnet.se/maklare/bjurfors-limhamn-1807/sofia-nebrelius-236,25 857 kr/m²,1 995 000 kr,-185 000 kr (-9 %),Lägenhet,Bostadsrätt,4 rum,70 m²,Ja,"3 av 3, hiss finns ej",1955,5 396 kr/mån,https://www.hemnet.se/salda/lagenhet-4rum-limhamn-malmo-kommun-alggatan-47a-2457480122086634595,,,,,,,,55.5837897,12.9411545
2 225 000 kr,Rådmansgatan 23F,Lägenhet,"Triangeln, Malmö kommun",Såld 01 november 2023,Jennifer Johansson,https://www.hemnet.se/maklare/bjurfors-limhamn-1807/jennifer-johansson-22209,42 788 kr/m²,2 395 000 kr,-170 000 kr (-7 %),Lägenhet,Bostadsrätt,2 rum,52 m²,Ja,"5 av 5, hiss finns",1944,4 730 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-triangeln-malmo-kommun-radmansgatan-23f-373584615028474525,,,,,,,,55.594693,13.0003044
2 600 000 kr,Amiralsgatan 32,Lägenhet,"S:t Knut, Malmö kommun",Såld 17 maj 2021,Malin Thelander,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/malin-thelander-6179,43 333 kr/m²,2 395 000 kr,+205 000 kr (+9 %),Lägenhet,Andel i bostadsförening,2 rum,60 m²,Nej,"1 av 4, hiss finns ej",1928,2 849 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-s-t-knut-malmo-kommun-amiralsgatan-32-1385971,3 620 kr/år,,,,,,,55.596861,13.0116396
1 250 000 kr,Munkhättegatan 36B,Lägenhet,"Eriksfält, Malmö kommun",Såld 04 september 2021,Silva Curraj,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/silva-curraj-325,20 161 kr/m²,1 195 000 kr,+55 000 kr (+5 %),Lägenhet,Bostadsrätt,2 rum,62 m²,Ja,"1 av 4, hiss finns ej",1961,3 741 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-eriksfalt-malmo-kommun-munkhattegatan-36b-1450568,5 880 kr/år,,,,,,,55.5586925,13.0106418
3 300 000 kr,Regementsgatan 13,Lägenhet,"Slottsstaden, Malmö kommun",Såld 23 november 2021,Sofia Nebrelius,https://www.hemnet.se/maklare/bjurfors-limhamn-1807/sofia-nebrelius-236,54 098 kr/m²,2 995 000 kr,+305 000 kr (+10 %),Lägenhet,Bostadsrätt,"2,5 rum",61 m²,Ja,"3 av 5, hiss finns",1929,3 434 kr/mån,"https://www.hemnet.se/salda/lagenhet-2,5rum-slottsstaden-malmo-kommun-regementsgatan-13-1501611",,,,,,,,55.5978174,12.9712395
865 000 kr,Ellstorpsgatan 2a,Lägenhet,"Ellstorp, Malmö kommun",Såld 12 oktober 2018,Jacob Friberg,https://www.hemnet.se/maklare/bjurfors-malmo-oster-2048/jacob-friberg-14876,25 441 kr/m²,895 000 kr,-30 000 kr (-3 %),Lägenhet,Bostadsrätt,1 rum,34 m²,,,1938,2 593 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-ellstorp-malmo-kommun-ellstorpsgatan-2a-896066,,,1 m²,,,,,55.6035167,13.0293407
2 210 000 kr,Köpenhamnsvägen 33A,Lägenhet,"Malmö, Malmö kommun",Såld 15 oktober 2020,,,37 143 kr/m²,2 095 000 kr,+115 000 kr (+5 %),Lägenhet,Bostadsrätt,2 rum,"59,5 m²",Ja,"2 av 3, hiss finns ej",1944,3 645 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-malmo-malmo-kommun-kopenhamnsvagen-33a-1271456,4 200 kr/år,,,,,,,55.593836,12.9738846
1 995 000 kr,Tärningholmsgatan 13A,Lägenhet,"Slottsstaden, Malmö kommun",Såld 24 september 2022,Emma Wrangmark,https://www.hemnet.se/maklare/svensk-fastighetsformedling-malmo-701451/emma-wrangmark-13676,31 667 kr/m²,1 995 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,63 m²,Ja,1 av 4,1946,3 632 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slottsstaden-malmo-kommun-tarningholmsgatan-13a-1117928288860159221,6 000 kr/år,,,,,,,55.5966767,12.9807126
2 300 000 kr,Karlshamnsgatan 7B,Lägenhet,"Folkets Park, Malmö kommun",Såld 15 september 2023,Alexander Karlsson,https://www.hemnet.se/maklare/svensk-fastighetsformedling-malmo-701451/alexander-karlsson-17010,30 997 kr/m²,2 195 000 kr,+105 000 kr (+5 %),Lägenhet,Bostadsrätt,"2,5 rum","74,2 m²",Ja,"3 av 4, hiss finns ej",1937,4 566 kr/mån,"https://www.hemnet.se/salda/lagenhet-2,5rum-folkets-park-malmo-kommun-karlshamnsgatan-7b-6047504589696178054",5 880 kr/år,,,,,,,55.5925817,13.0175256
1 050 000 kr,Klubbegatan 4C,Lägenhet,"Håkanstorp, Malmö kommun",Såld 24 november 2018,,,20 388 kr/m²,1 195 000 kr,-145 000 kr (-12 %),Lägenhet,Bostadsrätt,2 rum,"51,5 m²",,,1960,2 944 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-hakanstorp-malmo-kommun-klubbegatan-4c-916146,,,,,,Riksbyggen Brf Malmöhus nr 10,,55.5995684,13.0394891
1 195 000 kr,Eriksdalsgatan 5A,Lägenhet,"Katrinelund, Malmö kommun",Såld 09 september 2020,Anders Backman,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/anders-backman-15211,20 254 kr/m²,1 250 000 kr,-55 000 kr (-4 %),Lägenhet,Bostadsrätt,2 rum,59 m²,Ja,"7 av 8, hiss finns",1961,3 426 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-katrinelund-malmo-kommun-eriksdalsgatan-5a-1247844,,,,,,,,55.6016486,13.0344801
1 200 000 kr,Ellstorpsgatan 2B,Lägenhet,"Ellstorp, Malmö kommun",Såld 26 mars 2019,,,26 667 kr/m²,1 195 000 kr,+5 000 kr (±0 %),Lägenhet,Bostadsrätt,2 rum,45 m²,,,1938,3 605 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-ellstorp-malmo-kommun-ellstorpsgatan-2b-971135,,,,,,HSB Brf Ellstorp,,55.603621,13.0294186
1 200 000 kr,Serenadgatan 28,Lägenhet,"Högaholm, Malmö kommun",Såld 18 juni 2022,,,18 750 kr/m²,995 000 kr,+205 000 kr (+21 %),Lägenhet,Bostadsrätt,2 rum,64 m²,,"6 av 17, hiss finns",1972,4 653 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-hogaholm-malmo-kommun-serenadgatan-28-6915730465687536541,4 200 kr/år,,,,,,,55.56114345,13.006989097410425
2 200 000 kr,Slussgatan 12 H,Lägenhet,"Slussen, Malmö kommun",Såld 09 april 2020,Anna Danielsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/anna-danielsson-9234,36 667 kr/m²,1 995 000 kr,+205 000 kr (+10 %),Lägenhet,Andel i bostadsförening,2 rum,60 m²,Nej,,1901,2 372 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slussen-malmo-kommun-slussgatan-12-h-1168135,4 860 kr/år,,,,,,,55.6084108,13.0169583
2 495 000 kr,Nobelvägen 88,Lägenhet,"Östervärn, Malmö kommun",Såld 18 februari 2022,Emma Nilsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/emma-nilsson-12617,29 353 kr/m²,2 495 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,3 rum,85 m²,Ja,"4 av 4, hiss finns ej",1934,5 312 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-ostervarn-malmo-kommun-nobelvagen-88-2944786774995816017,5 880 kr/år,,,,,,,55.6048785,13.0286919
1 500 000 kr,S:t Pauli Kyrkogata 15 B,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 29 maj 2017,,,40 541 kr/m²,1 350 000 kr,+150 000 kr (+11 %),Lägenhet,Bostadsrätt,1 rum,37 m²,,,1904,2 310 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-rorsjostaden-malmo-kommun-s-t-pauli-kyrkogata-15-b-682646,4 220 kr/år,,,,,Brf Sankt Pauli,,55.6021455,13.0145406
1 650 000 kr,Bodekullsgatan 50A,Lägenhet,"Sorgenfri, Malmö kommun",Såld 27 februari 2017,Malin Fasth,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/malin-fasth-8117,27 049 kr/m²,1 150 000 kr,+500 000 kr (+43 %),Lägenhet,Bostadsrätt,2 rum,61 m²,,,1946,3 423 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-sorgenfri-malmo-kommun-bodekullsgatan-50a-639411,,,,,,Brf Lindbogården,,55.5928561,13.0239507
2 070 000 kr,Ehrensvärdsgatan 2A,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 08 augusti 2017,,,29 571 kr/m²,1 995 000 kr,+75 000 kr (+4 %),Lägenhet,Bostadsrätt,2 rum,70 m²,,,1910,3 857 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-rorsjostaden-malmo-kommun-ehrensvardsgatan-2a-710697,5 200 kr/år,,,,,Brf Gotthard 1,,55.6043778,13.0223322
675 000 kr,Östra Farmvägen 19BA,Lägenhet,"Sorgenfri, Malmö kommun",Såld 24 januari 2022,,,20 455 kr/m²,595 000 kr,+80 000 kr (+13 %),Lägenhet,Bostadsrätt,1 rum,33 m²,Ja,"3 av 5, hiss finns",2021,5 405 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-sorgenfri-malmo-kommun-ostra-farmvagen-19ba-2883796626557917528,,,,,,,,55.5903883,13.028004
750 000 kr,Idaborgsgatan 57E,Lägenhet,"Ellstorp, Malmö kommun",Såld 18 mars 2018,,,21 429 kr/m²,795 000 kr,-45 000 kr (-6 %),Lägenhet,Bostadsrätt,"1,5 rum",35 m²,,,1940,2 258 kr/mån,"https://www.hemnet.se/salda/lagenhet-1,5rum-ellstorp-malmo-kommun-idaborgsgatan-57e-805809",4 200 kr/år,,,,,Hsb Brf Vidar,,55.6031323,13.0325669
1 050 000 kr,Kronetorpsgatan 62A,Lägenhet,"Segevång, Malmö kommun",Såld 06 augusti 2021,,,18 584 kr/m²,995 000 kr,+55 000 kr (+6 %),Lägenhet,Bostadsrätt,2 rum,"56,5 m²",Ja,"4 av 4, hiss finns ej",1961,3 324 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-segevang-malmo-kommun-kronetorpsgatan-62a-1432331,,,,,,,,55.6153314,13.0531318
1 079 200 kr,Serenadgatan 60,Lägenhet,"Högaholm, Malmö kommun",Såld 22 december 2021,,,16 732 kr/m²,995 000 kr,+84 200 kr (+8 %),Lägenhet,Bostadsrätt,2 rum,"64,5 m²",Ja,"4 av 8, hiss finns",1971,3 205 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-hogaholm-malmo-kommun-serenadgatan-60-3634317575522526888,,,,,,,,55.5610776,13.0115051
955 000 kr,Nobelvägen 78B,Lägenhet,"Värnhem, Malmö kommun",Såld 10 januari 2019,Mathilda Skoglund,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/mathilda-skoglund-11409,28 939 kr/m²,895 000 kr,+60 000 kr (+7 %),Lägenhet,Bostadsrätt,"1,5 rum",33 m²,,,1935,2 056 kr/mån,"https://www.hemnet.se/salda/lagenhet-1,5rum-varnhem-malmo-kommun-nobelvagen-78b-931996",,,,,,Brf Astern,,55.5854076,13.0090857
1 425 000 kr,Friggs Gränd 6,Lägenhet,"Hyllie, Malmö kommun",Såld 14 januari 2022,Therese Lagerfelt,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/therese-lagerfelt-15913,43 182 kr/m²,1 475 000 kr,-50 000 kr (-3 %),Lägenhet,Bostadsrätt,1 rum,33 m²,Ja,"1 av 5, hiss finns",,2 376 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-hyllie-malmo-kommun-friggs-grand-6-8770382794498687037,4 800 kr/år,,,,,,,55.5626378,12.9793121
935 000 kr,Solistgatan 12F,Lägenhet,"Lindeborg, Malmö kommun",Såld 07 april 2018,,,15 847 kr/m²,945 000 kr,-10 000 kr (-1 %),Lägenhet,Bostadsrätt,2 rum,59 m²,,,2001,5 527 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-lindeborg-malmo-kommun-solistgatan-12f-812715,2 400 kr/år,,,,,,,55.5624749,12.9942247
1 850 000 kr,Bures Gata 25,Lägenhet,"Hyllie, Malmö kommun",Såld 07 mars 2022,Anni Johansson,https://www.hemnet.se/maklare/croisette-hyllie-708891/anni-johansson-13201,47 436 kr/m²,1 750 000 kr,+100 000 kr (+6 %),Lägenhet,Bostadsrätt,2 rum,39 m²,Ja,"3 av 6, hiss finns",2020,2 747 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-hyllie-malmo-kommun-bures-gata-25-1587828064983461780,,,,,,,,55.562593,12.98160188078857
1 600 000 kr,Blåsebergavägen 25,Lägenhet,"Limhamn, Malmö kommun",Såld 13 juli 2023,Sam Lashkari,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/sam-lashkari-17811,31 068 kr/m²,1 850 000 kr,-250 000 kr (-14 %),Lägenhet,Bostadsrätt,2 rum,"51,5 m²",Nej,"1 av 6, hiss finns",2022,2 996 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-vastra-malmo-malmo-kommun-blasebergavagen-25-2595474039925293170,4 320 kr/år,Ja,,,,,,55.5584257,12.9457379
3 400 000 kr,Kilian Zollsgatan 5A,Lägenhet,"Ribersborg, Malmö kommun",Såld 11 mars 2021,Malin Ekvall Jangvert,https://www.hemnet.se/maklare/bjurfors-limhamn-1807/malin-ekvall-jangvert-12871,53 125 kr/m²,2 995 000 kr,+405 000 kr (+14 %),Lägenhet,Bostadsrätt,2 rum,64 m²,Ja,"4 av 4, hiss finns ej",1939,4 237 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-ribersborg-malmo-kommun-kilian-zollsgatan-5a-1345941,,,,,,,,55.6016543,12.980564
1 640 000 kr,Ribevägen 4A,Lägenhet,"Pildammarna, Malmö kommun",Såld 25 november 2023,Lisa Ivarsson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/lisa-ivarsson-14256,30 540 kr/m²,2 095 000 kr,-455 000 kr (-22 %),Lägenhet,Bostadsrätt,2 rum,"53,7 m²",Nej,"1,5 av 3, hiss finns ej",1947,3 490 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-pildammarna-malmo-kommun-ribevagen-4a-7744123528569131141,,,,,,,,55.5909983,12.9844609
1 295 000 kr,Västra Stallmästaregatan 30C,Lägenhet,"Slottsstaden, Malmö kommun",Såld 09 april 2018,Max Lexert,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/max-lexert-13499,34 079 kr/m²,1 295 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,38 m²,,,1945,1 956 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-slottsstaden-malmo-kommun-vastra-stallmastaregatan-30c-812973,4 500 kr/år,,,,,Brf Torborg,,55.5963936,12.971437
1 800 000 kr,Östra Kristinelundsvägen 18B,Lägenhet,"Rönneholm, Malmö kommun",Såld 15 mars 2022,,,50 000 kr/m²,1 695 000 kr,+105 000 kr (+6 %),Lägenhet,Bostadsrätt,1 rum,36 m²,Ja,2 av 4,1939,2 776 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-ronneholm-malmo-kommun-ostra-kristinelundsvagen-18b-6345426006736497670,,,,,,,,55.5962328,12.9781271
1 770 000 kr,Drottninggatan 1AC,Lägenhet,"Slussen, Malmö kommun",Såld 06 mars 2020,Philip Ekdahl,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/philip-ekdahl-11614,45 385 kr/m²,1 795 000 kr,-25 000 kr (-1 %),Lägenhet,Bostadsrätt,2 rum,39 m²,Ja,,2019,2 398 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slussen-malmo-kommun-drottninggatan-1ac-1152593,,,,,,,,55.607808,13.0208943
1 250 000 kr,Spånehusvägen 56 B,Lägenhet,"Östra Sorgenfri/nobel, Malmö kommun",Såld 22 september 2021,Ericka Nguyen,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/ericka-nguyen-8936,25 000 kr/m²,1 295 000 kr,-45 000 kr (-3 %),Lägenhet,Bostadsrätt,2 rum,50 m²,,4 av 4,1937,3 029 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-ostra-sorgenfri-nobel-malmo-kommun-spanehusvagen-56-b-1462794,8 215 kr/år,,,,,,,55.5948884,13.0201852
3 900 000 kr,Roslins väg 8,Lägenhet,"Slottsstaden, Malmö kommun",Såld 30 september 2020,Anna Danielsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/anna-danielsson-9234,39 394 kr/m²,3 495 000 kr,+405 000 kr (+12 %),Lägenhet,Bostadsrätt,3 rum,99 m²,Ja,"1 av 4, hiss finns ej",1938,5 212 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-slottsstaden-malmo-kommun-roslins-vag-8-1260962,4 860 kr/år,,,,,,,55.6009051,12.978743
3 000 000 kr,Erikstorpsgatan 3,Lägenhet,"Ribersborg, Malmö kommun",Såld 07 april 2021,Filip Ericsson,https://www.hemnet.se/maklare/bjurfors-malmo-vaster-12366/filip-ericsson-9481,50 000 kr/m²,2 495 000 kr,+505 000 kr (+20 %),Lägenhet,Bostadsrätt,2 rum,60 m²,Nej,"1,5 av 5, hiss finns",1935,3 096 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-ribersborg-malmo-kommun-erikstorpsgatan-3-1359528,,,,,,,,55.599171,12.9795422
1 160 000 kr,Saarisvägen 14A,Lägenhet,"Midhem, Malmö kommun",Såld 20 augusti 2023,Arian Askari,https://www.hemnet.se/maklare/bjurfors-malmo-oster-2048/arian-askari-23357,13 441 kr/m²,1 250 000 kr,-90 000 kr (-7 %),Lägenhet,Bostadsrätt,"3,5 rum","86,3 m²",Ja,"4 av 6, hiss finns",1938,6 184 kr/mån,"https://www.hemnet.se/salda/lagenhet-3,5rum-midhem-malmo-kommun-saarisvagen-14a-7383593136182619627",7 152 kr/år,,,,,,,55.6094821,13.0312641
2 575 000 kr,Östra Kristinelundsvägen 9A,Lägenhet,"Slottsstaden, Malmö kommun",Såld 25 september 2021,,,44 397 kr/m²,2 495 000 kr,+80 000 kr (+3 %),Lägenhet,Bostadsrätt,2 rum,58 m²,Ja,"5 av 6, hiss finns",1953,3 089 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-slottsstaden-malmo-kommun-ostra-kristinelundsvagen-9a-1464535,,,,,,,,55.5966534,12.9795697
1 200 000 kr,Vitemöllegatan 4B,Lägenhet,"Nobeltorget, Malmö kommun",Såld 28 oktober 2022,Jasmine von Stezelow,https://www.hemnet.se/maklare/skandiamaklarna-malmo-city-34259/jasmine-von-stezelow-13959,22 222 kr/m²,1 150 000 kr,+50 000 kr (+4 %),Lägenhet,Bostadsrätt,3 rum,54 m²,Nej,"1 av 3, hiss finns ej",1944,3 664 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-nobeltorget-malmo-kommun-vitemollegatan-4b-6346014180921762989,8 856 kr/år,,,,,,,55.5901707,13.0213979
1 395 000 kr,Carl Hillsgatan 9,Lägenhet,"Ribersborg, Malmö kommun",Såld 26 november 2015,Johan Dahlgren,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/johan-dahlgren-465,32 442 kr/m²,1 395 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,"1,5 rum",43 m²,,,1937,2 524 kr/mån,"https://www.hemnet.se/salda/lagenhet-1,5rum-ribersborg-malmo-kommun-carl-hillsgatan-9-451028",,,,,,Brf Domicil,,55.6007253,12.9817889
