Slutpris,Title,Type,Location,Sale Date,Agent Name,Agent Link,Pris per kvadratmeter,Utgångspris,Prisutveckling,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift,url,Driftskostnad,Uteplats,Biarea,Tomtarea,Arrende,Förening,Tomträttsavgäld,Lat,Long
1 385 000 kr,Västra Skrävlingevägen 106,Lägenhet,"Höja, Malmö kommun",Såld 12 mars 2021,Eric Lagerlöf,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-737371/eric-lagerlof-16363,23 475 kr/m²,1 195 000 kr,+190 000 kr (+16 %),Lägenhet,Bostadsrätt,2 rum,59 m²,Ja,"1 av 3, hiss finns ej",1969,2 601 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-hoja-malmo-kommun-vastra-skravlingevagen-106-1344155,4 860 kr/år,Ja,,,,,,55.5834682,13.0613828
1 330 000 kr,Karlskronaplan 6,Lägenhet,"Västra Sorgenfri, Malmö kommun",Såld 04 september 2015,Tobias Enckell,https://www.hemnet.se/maklare/riksbyggen-ekonomisk-forening-719511/tobias-enckell-6001,19 851 kr/m²,1 295 000 kr,+35 000 kr (+3 %),Lägenhet,Bostadsrätt,"2,5 rum",67 m²,,,,3 612 kr/mån,"https://www.hemnet.se/salda/lagenhet-2,5rum-vastra-sorgenfri-malmo-kommun-karlskronaplan-6-413608",,,,,,Brf Insjön 2,,55.5937801,13.0183662
980 000 kr,Lönngatan 18G,Lägenhet,"Sofielund, Malmö kommun",Såld 15 juli 2019,Mathilda Skoglund,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/mathilda-skoglund-11409,29 697 kr/m²,895 000 kr,+85 000 kr (+9 %),Lägenhet,Bostadsrätt,"1,5 rum",33 m²,,,2019,2 127 kr/mån,"https://www.hemnet.se/salda/lagenhet-1,5rum-sofielund-malmo-kommun-lonngatan-18g-1045052",,,,,,,,55.5822381,13.0242811
1 195 000 kr,Solvändestigen 7B,Lägenhet,"Almhög, Malmö kommun",Såld 15 juni 2022,Alexander Gustafsson,https://www.hemnet.se/maklare/lansforsakringar-fastighetsformedling-malmo-39311/alexander-gustafsson-16281,15 724 kr/m²,1 195 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,3 rum,76 m²,Ja,"2 av 4, hiss finns ej",1960,5 067 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-almhog-malmo-kommun-solvandestigen-7b-1514137660360986777,,,,,,,,55.575593,13.0217683
1 560 000 kr,Mäster Henriksgatan 1D,Lägenhet,"S:t Knut, Malmö kommun",Såld 24 januari 2018,Kenan Hasanoglu,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/kenan-hasanoglu-10334,39 000 kr/m²,1 350 000 kr,+210 000 kr (+16 %),Lägenhet,Bostadsrätt,1 rum,40 m²,,,1933,2 498 kr/mån,https://www.hemnet.se/salda/lagenhet-1rum-s-t-knut-malmo-kommun-master-henriksgatan-1d-783051,,,,,,BRF Larstorp,,55.5958654,13.014295
1 300 000 kr,Falsterbogatan 12 A,Lägenhet,"Folkets Park, Malmö kommun",Såld 22 juli 2019,,,35 135 kr/m²,1 195 000 kr,+105 000 kr (+9 %),Lägenhet,Bostadsrätt,2 rum,37 m²,,,1936,2 964 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-folkets-park-malmo-kommun-falsterbogatan-12-a-1047164,3 200 kr/år,,,,,,,55.5934532,13.0155112
1 350 000 kr,Rödkullastigen 5A,Lägenhet,"Almhög, Malmö kommun",Såld 21 april 2022,Frida Nordeborg,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/frida-nordeborg-16470,19 424 kr/m²,1 350 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,3 rum,"69,5 m²",Nej,"7 av 8, hiss finns",1959,4 495 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-almhog-malmo-kommun-rodkullastigen-5a-4634382604504010362,2 760 kr/år,,,,,,,55.5753797,13.0183382
2 235 000 kr,Stora Trädgårdsgatan 3B,Lägenhet,"Drottningtorget, Malmö kommun",Såld 28 augusti 2019,Johan Linde,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/johan-linde-1548,29 800 kr/m²,1 995 000 kr,+240 000 kr (+12 %),Lägenhet,Bostadsrätt,3 rum,75 m²,,,1971,3 772 kr/mån,https://www.hemnet.se/salda/lagenhet-3rum-drottningtorget-malmo-kommun-stora-tradgardsgatan-3b-1063158,,,,,,,,55.6078233,13.0107149
2 125 000 kr,Långgårdsgatan 1,Lägenhet,"Gamla Väster, Malmö kommun",Såld 28 oktober 2017,,,32 692 kr/m²,2 295 000 kr,-170 000 kr (-7 %),Lägenhet,Bostadsrätt,2 rum,65 m²,,,1983,4 269 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-gamla-vaster-malmo-kommun-langgardsgatan-1-753367,,,,,,Brf Västerport,,55.60589245,12.99464186669539
1 375 000 kr,Eriksdalsgatan 5A,Lägenhet,"Katrinelund, Malmö kommun",Såld 28 mars 2018,Kenan Hasanoglu,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/kenan-hasanoglu-10334,23 109 kr/m²,1 395 000 kr,-20 000 kr (-1 %),Lägenhet,Bostadsrätt,2 rum,"59,5 m²",,,1961,3 249 kr/mån,https://www.hemnet.se/salda/lagenhet-2rum-katrinelund-malmo-kommun-eriksdalsgatan-5a-809774,,,,,,HSB Brf Eriksdal,,55.6016486,13.0344801
