Slutpris,Title,Type,Location,Sale Date,Agent Name,Agent Link,Pris per kvadratmeter,Utgångspris,Prisutveckling,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift,Driftskostnad,Biarea,Tomtarea,Uteplats,Arrende,Förening
1 180 000 kr,Kronborgsvägen 18A,Lägenhet,"Pildammarna, Malmö kommun",Såld 18 juli 2023,Rasmus Eriksson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/rasmus-eriksson-19260,43 704 kr/m²,1 245 000 kr,-65 000 kr (-5 %),Lägenhet,Bostadsrätt,1 rum,27 m²,Nej,"4 av 4, hiss finns",1946,2 953 kr/mån,,,,,,
550 000 kr,Ormvråksgatan 42,Lägenhet,"Söderkulla, Malmö kommun",Såld 15 oktober 2019,Patrik Tegnhammar,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/patrik-tegnhammar-10542,21 154 kr/m²,550 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,26 m²,,,1967,1 303 kr/mån,,,,,,
1 250 000 kr,Kilian Zollsgatan 9B,Lägenhet,"Ribersborg, Malmö kommun",Såld 06 mars 2020,Johan Dahlgren,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/johan-dahlgren-465,44 643 kr/m²,1 250 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,28 m²,Ja,,1945,1 857 kr/mån,,,,,,
875 000 kr,Celsiusgatan 13 A,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 12 augusti 2018,Ericka Nguyen,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/ericka-nguyen-8936,35 714 kr/m²,795 000 kr,+80 000 kr (+10 %),Lägenhet,Bostadsrätt,1 rum,"24,5 m²",,,1947/1948,1 786 kr/mån,,,,,,HSB Brf Eken
450 000 kr,Duväpplegången Nr 442,Fritidsboende,"Ärtholmen, Malmö kommun",Såld 20 augusti 2017,David Blomberg,https://www.hemnet.se/maklare/zetterberg-blomberg-fastighetsformedling-33587/david-blomberg-217,,450 000 kr,0 kr (±0 %),Fritidsboende,Äganderätt,1 rum,22 m²,,,50-tal,,3 600 kr/år,14 m²,290 m²,,,
830 000 kr,Vitemöllegatan 4C,Lägenhet,"Nobeltorget/Annelund, Malmö kommun",Såld 09 februari 2022,Sandra Lindh,https://www.hemnet.se/maklare/husmanhagberg-malmo-4545/sandra-lindh-17715,36 087 kr/m²,695 000 kr,+135 000 kr (+19 %),Lägenhet,Bostadsrätt,1 rum,23 m²,Nej,"2 av 4, hiss finns ej",1944,2 168 kr/mån,,,,,,
640 000 kr,Duväpplegången 451,Fritidshus,"Ärtholmens sommarstad, Malmö kommun",Såld 22 september 2021,Lennart Andén,https://www.hemnet.se/maklare/kolonimaklarna-725411/lennart-anden-17714,,425 000 kr,+215 000 kr (+51 %),Fritidshus,Annat,2 rum,30 m²,,,1940,,5 000 kr/år,5 m²,370 m²,,5 861 kr/år,
1 130 000 kr,Erikslustvägen 36H,Lägenhet,"Erikslust, Malmö kommun",Såld 13 april 2023,Rama Bernin,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/rama-bernin-21858,41 852 kr/m²,1 195 000 kr,-65 000 kr (-5 %),Lägenhet,Bostadsrätt,1 rum,27 m²,Nej,"2 av 3, hiss finns ej",1953,2 064 kr/mån,,,,,,
395 000 kr,Sandbackegatan 7 C,Lägenhet,"Kirseberg, Malmö kommun",Såld 06 mars 2016,Elaine Mürgas,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/elaine-murgas-11453,16 122 kr/m²,395 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,,"24,5 m²",,,1952,2 079 kr/mån,4 500 kr/år,,,,,HSB Brf Huggaren
1 550 000 kr,Carlsgatan 7F,Lägenhet,"Inre Hamnen, Malmö kommun",Såld 27 september 2019,Patrik Tegnhammar,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/patrik-tegnhammar-10542,53 448 kr/m²,1 595 000 kr,-45 000 kr (-3 %),Lägenhet,Bostadsrätt,"1,5 rum",29 m²,,,2019,1 871 kr/mån,,,,,,
795 000 kr,Sölvesborgsgatan 3C,Lägenhet,"Folkets Park, Malmö kommun",Såld 25 oktober 2018,Lisa Ivarsson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/lisa-ivarsson-14256,33 125 kr/m²,795 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,24 m²,,,1939,2 207 kr/mån,,,,,,HSB Brf Sölve
1 120 000 kr,Vårgatan 3A,Lägenhet,"Värnhem, Malmö kommun",Såld 31 juli 2021,Gustav Cagmo,https://www.hemnet.se/maklare/bjurfors-malmo-oster-2048/gustav-cagmo-8076,44 800 kr/m²,950 000 kr,+170 000 kr (+18 %),Lägenhet,Bostadsrätt,1 rum,25 m²,Nej,"4 av 4, hiss finns ej",1936,1 799 kr/mån,,,,,,
995 000 kr,Per Albin Hanssons väg 50A,Lägenhet,"Mobilia, Malmö kommun",Såld 01 juli 2022,Fanny Pålsson,https://www.hemnet.se/maklare/skandiamaklarna-malmo-vaster-oster-718231/fanny-palsson-17682,42 340 kr/m²,995 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"23,5 m²",Ja,"6, hiss finns",,2 118 kr/mån,,,,,,
945 000 kr,Ängelholmsgatan 5,Lägenhet,"Möllevången, Malmö kommun",Såld 08 november 2018,Maja Ristic,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/maja-ristic-14042,30 484 kr/m²,995 000 kr,-50 000 kr (-5 %),Lägenhet,Bostadsrätt,1 rum,31 m²,,,1904,2 066 kr/mån,3 680 kr/år,,,,,Brf Fanan 3
1 700 000 kr,Neptunigatan 71,Lägenhet,"Varvsstaden, Malmö kommun",Såld 15 februari 2023,Felicia Johansson,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/felicia-johansson-20780,56 667 kr/m²,1 795 000 kr,-95 000 kr (-5 %),Lägenhet,Bostadsrätt,2 rum,30 m²,Ja,"3 av 7, hiss finns",2023,3 027 kr/mån,,,,,,
550 000 kr,Solvändegatan 1A,Lägenhet,"Almhög, Malmö kommun",Såld 13 november 2020,Artemiz Eskafi,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/artemiz-eskafi-17058,25 581 kr/m²,550 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"21,5 m²",,"1 av 4, hiss finns ej",1959,1 615 kr/mån,,,,,,
1 195 000 kr,Roskildevägen 11C,Lägenhet,"Pildammarna, Malmö kommun",Såld 07 september 2020,Anna Ahlström,https://www.hemnet.se/maklare/croisette-lund-21227/anna-ahlstrom-2198,44 259 kr/m²,1 280 000 kr,-85 000 kr (-7 %),Lägenhet,Bostadsrätt,1 rum,27 m²,Nej,"5 av 5, hiss finns",1948,1 983 kr/mån,,,,,,
900 000 kr,Kilian Zollsgatan 31C,Lägenhet,"Ribersborg, Malmö kommun",Såld 06 maj 2016,Dennis Berg,https://www.hemnet.se/maklare/bjurfors-jonkoping-711611/dennis-berg-10675,34 615 kr/m²,795 000 kr,+105 000 kr (+13 %),Lägenhet,Bostadsrätt,1 rum,26 m²,,,1945,1 590 kr/mån,,,,,,Brf Krageholm
845 000 kr,Vendelsfridsgatan 6A,Lägenhet,"Lorensborg, Malmö kommun",Såld 27 mars 2019,Per Lundqvist,https://www.hemnet.se/maklare/fastighetsmaklare-per-fredrik-lundqvist-713231/per-lundqvist-7267,31 296 kr/m²,895 000 kr,-50 000 kr (-6 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,,1959,1 711 kr/mån,1 320 kr/år,,,,,
925 000 kr,Västra bernadottesgatan 23A,Lägenhet,"Limhamn, Malmö kommun",Såld 01 december 2016,Anna Helsing,https://www.hemnet.se/maklare/bjurfors-nyproduktion-skane-ab-733751/anna-helsing-5151,31 897 kr/m²,925 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,,1955,1 731 kr/mån,,,,,,Riksbyggens Brf Malmöhus nr 8
825 000 kr,Sandbackegatan 7C,Lägenhet,"Kirseberg, Malmö kommun",Såld 03 juni 2021,Filip Ericsson,https://www.hemnet.se/maklare/bjurfors-malmo-vaster-12366/filip-ericsson-9481,33 673 kr/m²,750 000 kr,+75 000 kr (+10 %),Lägenhet,Bostadsrätt,1 rum,"24,5 m²",Nej,"2 av 3, hiss finns ej",1946,2 142 kr/mån,,,,,,
1 495 000 kr,Mariedalsvägen 21,,,,Hugo Wendel,https://www.hemnet.se/maklare/bo-laget-fastighetsformedling-716831/hugo-wendel-17538,53 393 kr/m²,1 495 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,"1,5 rum",28 m²,Nej,"1 av 4, hiss finns ej",1927,1 755 kr/mån,,,,,,
510 000 kr,Jasmingången 134,Fritidshus,"Kölnan, Malmö kommun",Såld 07 juli 2020,David Blomberg,https://www.hemnet.se/maklare/zetterberg-blomberg-fastighetsformedling-33587/david-blomberg-217,,540 000 kr,-30 000 kr (-6 %),Fritidshus,Annat,2 rum,28 m²,,,1930,,10 600 kr/år,25 m²,360 m²,,,
995 000 kr,Ehrensvärdsgatan 5,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 27 mars 2019,Malin Wallin,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/malin-wallin-13595,35 536 kr/m²,995 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,,1935,2 324 kr/mån,3 900 kr/år,,,,,Brf Malmgården
1 020 000 kr,Birger Jarlsgatan 41C,Lägenhet,"Limhamn, Malmö kommun",Såld 01 augusti 2020,Nina Berglund,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/nina-berglund-11677,37 500 kr/m²,995 000 kr,+25 000 kr (+3 %),Lägenhet,Bostadsrätt,1 rum,"27,2 m²",Ja,,1961,1 536 kr/mån,,,,,,
1 075 000 kr,Rådmansgatan 15A,Lägenhet,"Triangeln, Malmö kommun",Såld 11 augusti 2021,Maxime Melkie,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/maxime-melkie-8937,51 190 kr/m²,1 095 000 kr,-20 000 kr (-2 %),Lägenhet,Bostadsrätt,1 rum,21 m²,,"1,5, hiss finns ej",1945,1 986 kr/mån,,,,,,
1 300 000 kr,Västra Bernadottesgatan 25 A,Lägenhet,"Limhamn, Malmö kommun",Såld 02 maj 2019,Josefin Norelius,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-726771/josefin-norelius-187,43 333 kr/m²,995 000 kr,+305 000 kr (+31 %),Lägenhet,Bostadsrätt,1 rum,30 m²,,,1956,1 571 kr/mån,5 373 kr/år,,,,,
1 135 000 kr,Falsterbogatan 22A,Lägenhet,"Folkets Park, Malmö kommun",Såld 11 februari 2021,Lisa Ivarsson,https://www.hemnet.se/maklare/croisette-malmo-slottsstaden-1091/lisa-ivarsson-14256,39 138 kr/m²,1 150 000 kr,-15 000 kr (-1 %),Lägenhet,Bostadsrätt,2 rum,29 m²,Nej,"5 av 5, hiss finns ej",1939,2 061 kr/mån,,,,,,
495 000 kr,Gullregnsgatan 2 A,Lägenhet,"Hindby / Västra Kattarp, Malmö kommun",Såld 31 maj 2019,Louise Nilsson,https://www.hemnet.se/maklare/maklarhuset-trelleborg-22728/louise-nilsson-15144,19 800 kr/m²,495 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,25 m²,,,1956,1 721 kr/mån,,,,,,
1 000 000 kr,Ehrensvärdsgatan 5,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 29 mars 2022,Nina  Hjelm,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/nina-hjelm-15172,34 483 kr/m²,895 000 kr,+105 000 kr (+12 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,"4, hiss finns",,2 149 kr/mån,,,,,,
725 000 kr,Per albin hanssons väg 52B,Lägenhet,"Blekingsborg, Malmö kommun",Såld 19 juli 2022,Henrik Feuk,https://www.hemnet.se/maklare/husmanhagberg-malmo-4545/henrik-feuk-19708,30 851 kr/m²,695 000 kr,+30 000 kr (+4 %),Lägenhet,Bostadsrätt,1 rum,"23,5 m²",Ja,"5 av 11, hiss finns",1957,2 181 kr/mån,,,,,,
695 000 kr,Baskemöllegatan 3 B,Lägenhet,"Sorgenfri, Malmö kommun",Såld 15 mars 2017,Mathias Johansson,https://www.hemnet.se/maklare/husmanhagberg-malmo-4545/mathias-johansson-12238,25 741 kr/m²,695 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,,1946,1 323 kr/mån,840 kr/år,,,,,Brf Storbragden
