Slutpris,Title,Type,Location,Sale Date,Agent Name,Agent Link,Pris per kvadratmeter,Utgångspris,Prisutveckling,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift,Driftskostnad,Biarea,Tomtarea,Uteplats,Arrende,Förening
1 150 000 kr,Dammfrivägen 48B,Lägenhet,"Malmö, Malmö kommun",Såld 24 november 2021,Nathalie Borgernäs,https://www.hemnet.se/maklare/svensk-fastighetsformedling-malmo-701451/nathalie-borgernas-12201,41 071 kr/m²,1 045 000 kr,+105 000 kr (+10 %),Lägenhet,Bostadsrätt,"1,5 rum",28 m²,,"8 av 8, hiss finns",,1 474 kr/mån,3 480 kr/år,,,,,
745 000 kr,Uppsalagatan 11B,Lägenhet,"Dalaplan/Södervärn, Malmö kommun",Såld 08 augusti 2021,Henrik Karlsson,https://www.hemnet.se/maklare/mohv-hyllie-725851/henrik-karlsson-63,27 593 kr/m²,795 000 kr,-50 000 kr (-6 %),Lägenhet,Bostadsrätt,1 rum,27 m²,Nej,"1 av 4, hiss finns ej",1939,2 479 kr/mån,,,,,,
870 000 kr,Båstadsgatan 9,Lägenhet,"Östra Sorgenfri/Nobel, Malmö kommun",Såld 29 oktober 2019,Kenan Hasanoglu,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/kenan-hasanoglu-10334,28 525 kr/m²,795 000 kr,+75 000 kr (+9 %),Lägenhet,Bostadsrätt,1 rum,"30,5 m²",Nej,,,1 926 kr/mån,1 285 kr/år,,,,,
985 000 kr,Lorensborgsgatan 5A,Lägenhet,"Lorensborg, Malmö kommun",Såld 19 september 2018,Patrik Tegnhammar,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/patrik-tegnhammar-10542,39 400 kr/m²,945 000 kr,+40 000 kr (+4 %),Lägenhet,Bostadsrätt,1 rum,25 m²,,,1958,1 344 kr/mån,,,,,,Brf Åsunden
1 400 000 kr,Södra Förstadsgatan 3 C,Lägenhet,"Davidshall, Malmö kommun",Såld 26 september 2017,Therese Franzén,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-732631/therese-franzen-10143,58 333 kr/m²,1 495 000 kr,-95 000 kr (-6 %),Lägenhet,Bostadsrätt,1 rum,24 m²,,,1927,1 742 kr/mån,1 800 kr/år,,,,,Brf Tigern 11
1 210 000 kr,Annebergsgatan 12 B,Lägenhet,"Borgmästaregården / Pildammarna, Malmö kommun",Såld 30 juni 2017,Fatima Friberg,https://www.hemnet.se/maklare/bohem-40591/fatima-friberg-10507,40 333 kr/m²,1 195 000 kr,+15 000 kr (+1 %),Lägenhet,Bostadsrätt,1 rum,30 m²,,,1964-1965,1 921 kr/mån,,,,,,
1 375 000 kr,Ingelstadsgatan 4,Lägenhet,"Slottsstaden/Ribersborg, Malmö kommun",Såld 08 februari 2023,Gustav Cagmo,https://www.hemnet.se/maklare/bjurfors-malmo-oster-2048/gustav-cagmo-8076,51 306 kr/m²,1 350 000 kr,+25 000 kr (+2 %),Lägenhet,Bostadsrätt,1 rum,"26,8 m²",Nej,"2 av 3, hiss finns ej",1945,2 761 kr/mån,,,,,,
1 060 000 kr,Drottninggatan 6B,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 05 maj 2021,Nina  Hjelm,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/nina-hjelm-15172,36 552 kr/m²,995 000 kr,+65 000 kr (+7 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,"5, hiss finns",,2 149 kr/mån,5 435 kr/år,,,,,
1 200 000 kr,Nordlinds väg 94C,Lägenhet,"Slottsstaden, Malmö kommun",Såld 25 oktober 2018,Johan Dahlgren,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/johan-dahlgren-465,40 000 kr/m²,1 195 000 kr,+5 000 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,30 m²,,,1953,1 665 kr/mån,,,,,,HSB Brf Gamban
775 000 kr,Annebergsgatan 12b,Lägenhet,"Borgmästaregården, Malmö kommun",Såld 26 mars 2015,Henrik Karlsson,https://www.hemnet.se/maklare/mohv-hyllie-725851/henrik-karlsson-63,25 833 kr/m²,750 000 kr,+25 000 kr (+3 %),Lägenhet,Bostadsrätt,1 rum,30 m²,,,1965,1 925 kr/mån,2 860 kr/år,,,,,HSB Brf Lagmannen
1 120 000 kr,Typografgatan,Lägenhet,"Möllevången, Malmö kommun",Såld 21 september 2018,Martin Arup,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-720071/martin-arup-6181,38 621 kr/m²,1 150 000 kr,-30 000 kr (-3 %),Lägenhet,Bostadsrätt,1 rum,29 m²,,,2017,2 086 kr/mån,4 632 kr/år,,,,,Brf Friisgatan Typografen
350 000 kr,Mariedalsvägen 55 A,Övrig,"Dammfri, Malmö kommun",Såld 20 december 2022,Jessica Johansson,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/jessica-johansson-9359,,375 000 kr,-25 000 kr (-7 %),Övrig,Bostadsrätt,1 rum,31 m²,,,,1 878 kr/mån,,,,,,
695 000 kr,Per albin hanssons väg 56A,Lägenhet,"Blekingsborg, Malmö kommun",Såld 02 mars 2021,Henrik Karlsson,https://www.hemnet.se/maklare/mohv-hyllie-725851/henrik-karlsson-63,29 574 kr/m²,695 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,"23,5 m²",Ja,"9 av 10, hiss finns",1957,2 433 kr/mån,,,,,,
1 397 000 kr,Erikstorpsgatan 10 A,Lägenhet,"Ribersborg, Malmö kommun",Såld 02 oktober 2019,Jenny Eriksson,https://www.hemnet.se/maklare/fastighetsbyran-ystad-11646/jenny-eriksson-13740,51 172 kr/m²,1 195 000 kr,+202 000 kr (+17 %),Lägenhet,Bostadsrätt,"1,5 rum","27,3 m²",,,1954,1 254 kr/mån,,,,,,
1 095 000 kr,Skvadronsgatan 20,Lägenhet,"Slottsstaden, Malmö kommun",Såld 24 september 2020,Michaela Thulin,https://www.hemnet.se/maklare/croisette-hollviken-63091/michaela-thulin-1556,47 609 kr/m²,1 095 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,23 m²,Nej,"1 av 4, hiss finns ej",1944,1 741 kr/mån,,,,,,
1 100 000 kr,Ernst ahlgrensgatan 4A,Lägenhet,"Ribersborg, Malmö kommun",Såld 04 januari 2017,Gustav Cagmo,https://www.hemnet.se/maklare/bjurfors-malmo-oster-2048/gustav-cagmo-8076,45 833 kr/m²,995 000 kr,+105 000 kr (+11 %),Lägenhet,Bostadsrätt,1 rum,24 m²,,,1953,1 486 kr/mån,,,,,,Brf Stjärnehus
820 000 kr,Per Albin Hanssons Väg 52B,Lägenhet,"Blekingsborg, Malmö kommun",Såld 15 mars 2021,Tobias Broqvist,https://www.hemnet.se/maklare/lansforsakringar-fastighetsformedling-malmo-39311/tobias-broqvist-15356,34 894 kr/m²,795 000 kr,+25 000 kr (+3 %),Lägenhet,Bostadsrätt,1 rum,"23,5 m²",Ja,"10 av 11, hiss finns",1956,2 211 kr/mån,,,,,,
475 000 kr,Pomonagången 261,Fritidsboende,"Ärtholmen, Malmö kommun",Såld 08 mars 2019,Marcus Zetterberg,https://www.hemnet.se/maklare/zetterberg-blomberg-fastighetsformedling-33587/marcus-zetterberg-9077,,530 000 kr,-55 000 kr (-10 %),Fritidsboende,Äganderätt,2 rum,28 m²,,,1960-tal,,3 800 kr/år,16 m²,300 m²,,,
730 000 kr,Ellstorpsgatan 1A,Lägenhet,"Ellstorp, Malmö kommun",Såld 27 oktober 2019,Therese Lagerfelt,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/therese-lagerfelt-15913,25 524 kr/m²,695 000 kr,+35 000 kr (+5 %),Lägenhet,Bostadsrätt,1 rum,"28,6 m²",,,1939,1 828 kr/mån,,,,,,
760 000 kr,Amiralsgatan 96B,Lägenhet,"Nobeltorget, Malmö kommun",Såld 17 augusti 2018,Patrik Tegnhammar,https://www.hemnet.se/maklare/bjurfors-malmo-city-1806/patrik-tegnhammar-10542,28 148 kr/m²,695 000 kr,+65 000 kr (+9 %),Lägenhet,Bostadsrätt,"1,5 rum",27 m²,,,1956,1 481 kr/mån,,,,,,HSB Brf Manligheten
1 595 000 kr,Per Wickenbergsgatan 3,Lägenhet,"Ribersborg, Malmö kommun",Såld 10 oktober 2022,Leila Manouchehrian Nilsson,https://www.hemnet.se/maklare/svenska-maklarhuset-malmo-city-730411/leila-manouchehrian-nilsson-20372,59 074 kr/m²,1 595 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,"1,5 rum",27 m²,Nej,"5 av 5, hiss finns ej",2022,1 316 kr/mån,,"6,5 m²",,,,
1 340 000 kr,Typografgatan 4 A,Lägenhet,"Möllevången, Malmö kommun",Såld 09 oktober 2022,Mathilda Jingnäs,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/mathilda-jingnas-19673,46 207 kr/m²,1 450 000 kr,-110 000 kr (-8 %),Lägenhet,Bostadsrätt,1 rum,29 m²,Ja,"3 av 10, hiss finns",2019,2 086 kr/mån,4 098 kr/år,,,,,
1 230 000 kr,Hyllie Boulevard 6B,Lägenhet,"Hyllie, Malmö kommun",Såld 06 oktober 2022,Sharon Ma,https://www.hemnet.se/maklare/croisette-hyllie-708891/sharon-ma-18405,42 414 kr/m²,1 375 000 kr,-145 000 kr (-11 %),Lägenhet,Bostadsrätt,1 rum,29 m²,Ja,"4 av 7, hiss finns",2022,2 034 kr/mån,,,,,,
710 000 kr,Uddeholmsgatan 34A,Lägenhet,"Lönngården, Malmö kommun",Såld 24 juli 2023,Arian Askari,https://www.hemnet.se/maklare/bjurfors-malmo-oster-2048/arian-askari-23357,25 818 kr/m²,745 000 kr,-35 000 kr (-5 %),Lägenhet,Bostadsrätt,"1,5 rum","27,5 m²",Nej,"2 av 4, hiss finns ej",1953,2 332 kr/mån,,,,,,
1 195 000 kr,Bobergsängen 6A,Lägenhet,"Dammfri, Malmö kommun",Såld 15 oktober 2020,Johan Dahlgren,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/johan-dahlgren-465,45 785 kr/m²,1 295 000 kr,-100 000 kr (-8 %),Lägenhet,Bostadsrätt,1 rum,"26,1 m²",Ja,"1 av 3, hiss finns ej",1948,2 050 kr/mån,,,,,,
910 000 kr,Båstadsgatan 9,Lägenhet,"Östra Sorgenfri, Malmö kommun",Såld 19 augusti 2023,Kenan Hasanoglu,https://www.hemnet.se/maklare/fastighetsbyran-malmo-169/kenan-hasanoglu-10334,29 836 kr/m²,975 000 kr,-65 000 kr (-7 %),Lägenhet,Bostadsrätt,1 rum,"30,5 m²",,"6 av 6, hiss finns",,2 176 kr/mån,2 300 kr/år,,,,,
990 000 kr,Nobelvägen 93 B,Lägenhet,"Nobel, Malmö kommun",Såld 06 juni 2017,Majlinda Halimi Hugosson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/majlinda-halimi-hugosson-12128,32 459 kr/m²,795 000 kr,+195 000 kr (+25 %),Lägenhet,Bostadsrätt,1 rum,"30,5 m²",,,1936,1 141 kr/mån,2 400 kr/år,,,,,Brf Friden
1 325 000 kr,Föreningsgatan 70,Lägenhet,"Rörsjöstaden, Malmö kommun",Såld 23 februari 2021,Emma Nilsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/emma-nilsson-12617,42 742 kr/m²,1 295 000 kr,+30 000 kr (+2 %),Lägenhet,Bostadsrätt,1 rum,31 m²,Nej,"5 av 5, hiss finns",1935,2 084 kr/mån,3 620 kr/år,,,,,
1 600 000 kr,Västra Varvsgatan 16G,Lägenhet,"Västra Hamnen, Malmö kommun",Såld 18 november 2020,Edvin Karajkovic,https://www.hemnet.se/maklare/croisette-malmo-vastra-hamnen-12766/edvin-karajkovic-10415,61 538 kr/m²,1 595 000 kr,+5 000 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,26 m²,Ja,"2 av 4, hiss finns",2013,1 606 kr/mån,,,,,,
1 400 000 kr,Västra Rönneholmsvägen 64A,Lägenhet,"Slottsstaden, Malmö kommun",Såld 24 maj 2018,Victor Jörgensen,https://www.hemnet.se/maklare/bo-laget-fastighetsformedling-716831/victor-jorgensen-9420,51 852 kr/m²,1 390 000 kr,+10 000 kr (+1 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,,1944,1 823 kr/mån,3 683 kr/år,,,,,HSB Brf Tärningholm
1 280 000 kr,Möllevångsgatan 30A,Lägenhet,"Möllevången/Triangeln, Malmö kommun",Såld 15 juli 2022,Ludvig Andersson,https://www.hemnet.se/maklare/skandiamaklarna-malmo-vaster-oster-718231/ludvig-andersson-7262,45 714 kr/m²,1 195 000 kr,+85 000 kr (+7 %),Lägenhet,Bostadsrätt,1 rum,28 m²,,"3 av 5, hiss finns",1968,2 063 kr/mån,,,,,,
890 000 kr,Glasbruksgatan 2 A,Lägenhet,"Gamla Limhamn, Malmö kommun",Såld 17 juni 2016,[email protected],"https://www.hemnet.se/maklare/hemverket-ab-36511/info-hemverket,se-144",28 710 kr/m²,750 000 kr,+140 000 kr (+19 %),Lägenhet,Bostadsrätt,1 rum,31 m²,,,,2 444 kr/mån,,,,,,RBF Glasbruksgatan i Limhamn
840 000 kr,Sufflörgatan 11,Lägenhet,"Lindeborg, Malmö kommun",Såld 19 juni 2020,Labinot Krasniqi,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/labinot-krasniqi-8114,31 111 kr/m²,845 000 kr,-5 000 kr (-1 %),Lägenhet,Bostadsrätt,1 rum,27 m²,Ja,,1972,1 658 kr/mån,3 620 kr/år,,,,,
760 000 kr,Per albin hanssons väg 52A,Lägenhet,"Blekingsborg, Malmö kommun",Såld 28 september 2018,Elin Bengtsson,https://www.hemnet.se/maklare/erik-olsson-fastighetsformedling-435894/elin-bengtsson-12284,32 340 kr/m²,600 000 kr,+160 000 kr (+27 %),Lägenhet,Bostadsrätt,1 rum,"23,5 m²",,,1957,2 141 kr/mån,3 480 kr/år,,,,,HSB:s Brf Eriksfält i Malmö
850 000 kr,Vendelsfridsgatan 6A,Lägenhet,"Lorensborg, Malmö kommun",Såld 29 januari 2020,Irma Lidén,https://www.hemnet.se/maklare/mohv-malmo-20887/irma-liden-16164,31 481 kr/m²,850 000 kr,0 kr (±0 %),Lägenhet,Bostadsrätt,1 rum,27 m²,Ja,,1959,1 908 kr/mån,,,,,,
850 000 kr,Föreningsgatan 70,Lägenhet,"Värnhem, Malmö kommun",Såld 22 januari 2016,Michaela Thulin,https://www.hemnet.se/maklare/croisette-hollviken-63091/michaela-thulin-1556,31 481 kr/m²,795 000 kr,+55 000 kr (+7 %),Lägenhet,Bostadsrätt,1 rum,27 m²,,,1935,1 663 kr/mån,5 000 kr/år,,,,,Brf Granen 10-11
